Collecting initial RSSI for 60 seconds...
Starting DoS attack and measuring RSSI...
Ping: 7C:B0:73:FE:D3:B2 from E8:48:B8:C8:20:00 (data size 640) ...
640 bytes from 7C:B0:73:FE:D3:B2 id 39 time 76.02ms
640 bytes from 7C:B0:73:FE:D3:B2 id 40 time 72.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 41 time 76.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 42 time 75.73ms
640 bytes from 7C:B0:73:FE:D3:B2 id 43 time 71.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 44 time 76.20ms
640 bytes from 7C:B0:73:FE:D3:B2 id 45 time 75.89ms
640 bytes from 7C:B0:73:FE:D3:B2 id 46 time 79.95ms
640 bytes from 7C:B0:73:FE:D3:B2 id 47 time 68.05ms
640 bytes from 7C:B0:73:FE:D3:B2 id 48 time 84.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 49 time 68.18ms
640 bytes from 7C:B0:73:FE:D3:B2 id 50 time 75.81ms
640 bytes from 7C:B0:73:FE:D3:B2 id 51 time 76.19ms
640 bytes from 7C:B0:73:FE:D3:B2 id 52 time 71.91ms
640 bytes from 7C:B0:73:FE:D3:B2 id 53 time 75.80ms
640 bytes from 7C:B0:73:FE:D3:B2 id 54 time 75.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 0 time 112.24ms
640 bytes from 7C:B0:73:FE:D3:B2 id 1 time 75.93ms
640 bytes from 7C:B0:73:FE:D3:B2 id 2 time 72.00ms
640 bytes from 7C:B0:73:FE:D3:B2 id 3 time 75.80ms
640 bytes from 7C:B0:73:FE:D3:B2 id 4 time 76.22ms
640 bytes from 7C:B0:73:FE:D3:B2 id 5 time 76.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 6 time 71.97ms
640 bytes from 7C:B0:73:FE:D3:B2 id 7 time 75.79ms
640 bytes from 7C:B0:73:FE:D3:B2 id 8 time 76.19ms
640 bytes from 7C:B0:73:FE:D3:B2 id 9 time 75.98ms
640 bytes from 7C:B0:73:FE:D3:B2 id 10 time 72.01ms
640 bytes from 7C:B0:73:FE:D3:B2 id 11 time 75.80ms
640 bytes from 7C:B0:73:FE:D3:B2 id 12 time 76.16ms
640 bytes from 7C:B0:73:FE:D3:B2 id 13 time 75.82ms
640 bytes from 7C:B0:73:FE:D3:B2 id 14 time 75.92ms
640 bytes from 7C:B0:73:FE:D3:B2 id 15 time 72.04ms
640 bytes from 7C:B0:73:FE:D3:B2 id 16 time 79.93ms
640 bytes from 7C:B0:73:FE:D3:B2 id 17 time 72.08ms
640 bytes from 7C:B0:73:FE:D3:B2 id 18 time 71.89ms
640 bytes from 7C:B0:73:FE:D3:B2 id 19 time 76.10ms
640 bytes from 7C:B0:73:FE:D3:B2 id 20 time 23.92ms
640 bytes from 7C:B0:73:FE:D3:B2 id 21 time 88.20ms
640 bytes from 7C:B0:73:FE:D3:B2 id 22 time 80.03ms
640 bytes from 7C:B0:73:FE:D3:B2 id 23 time 75.83ms
640 bytes from 7C:B0:73:FE:D3:B2 id 24 time 71.90ms
640 bytes from 7C:B0:73:FE:D3:B2 id 25 time 64.12ms
640 bytes from 7C:B0:73:FE:D3:B2 id 26 time 79.93ms
640 bytes from 7C:B0:73:FE:D3:B2 id 27 time 59.91ms
640 bytes from 7C:B0:73:FE:D3:B2 id 28 time 52.27ms
640 bytes from 7C:B0:73:FE:D3:B2 id 29 time 79.99ms
640 bytes from 7C:B0:73:FE:D3:B2 id 30 time 75.96ms
